Date,AAPL,AMZN,MSFT,NVDA,CPI,Unemployment,Inflation_MoM,GDP,Interest_Rate
2025-09-04,239.5477752685547,235.67999267578125,507.02105712890625,171.64077758789062,323.364,4.3,0.3824519141221616,31098.027,4.33
2025-09-05,239.45787048339844,232.3300018310547,494.0752868652344,167.0012969970703,323.364,4.3,0.3824519141221616,31098.027,4.33
2025-09-08,237.64962768554688,235.83999633789062,497.2693176269531,168.2911376953125,323.364,4.3,0.3824519141221616,31098.027,4.33
2025-09-09,234.123046875,238.24000549316406,497.4789123535156,170.74085998535156,323.364,4.3,0.3824519141221616,31098.027,4.33
2025-09-10,226.5703582763672,230.3300018310547,499.43524169921875,177.3101348876953,323.364,4.3,0.3824519141221616,31098.027,4.33
2025-09-11,229.80722045898438,229.9499969482422,500.0740661621094,177.16014099121094,323.364,4.3,0.3824519141221616,31098.027,4.33
2025-09-12,233.84332275390625,228.14999389648438,508.94744873046875,177.8101043701172,323.364,4.3,0.3824519141221616,31098.027,4.33
2025-09-15,236.47076416015625,231.42999267578125,514.397216796875,177.74009704589844,323.364,4.3,0.3824519141221616,31098.027,4.33
2025-09-16,237.9193572998047,234.0500030517578,508.08905029296875,174.87026977539062,323.364,4.3,0.3824519141221616,31098.027,4.33
2025-09-17,238.75856018066406,231.6199951171875,509.06719970703125,170.280517578125,323.364,4.3,0.3824519141221616,31098.027,4.33
2025-09-18,237.64962768554688,231.22999572753906,507.5001525878906,176.23019409179688,323.364,4.3,0.3824519141221616,31098.027,4.33
2025-09-19,245.26223754882812,231.47999572753906,516.96240234375,176.66015625,323.364,4.3,0.3824519141221616,31098.027,4.33
2025-09-22,255.8319854736328,227.6300048828125,513.4889526367188,183.5997772216797,323.364,4.3,0.3824519141221616,31098.027,4.33
2025-09-23,254.18359375,220.7100067138672,508.2787170410156,178.42005920410156,323.364,4.3,0.3824519141221616,31098.027,4.33
2025-09-24,252.06564331054688,220.2100067138672,509.19696044921875,176.96014404296875,323.364,4.3,0.3824519141221616,31098.027,4.33
2025-09-25,256.6212158203125,218.14999389648438,506.0827941894531,177.68011474609375,323.364,4.3,0.3824519141221616,31098.027,4.33
2025-09-26,255.2126007080078,219.77999877929688,510.5045166015625,178.18008422851562,323.364,4.3,0.3824519141221616,31098.027,4.33
2025-09-29,254.18359375,222.1699981689453,513.6386108398438,181.8398895263672,323.364,4.3,0.3824519141221616,31098.027,4.33
2025-09-30,254.38340759277344,219.57000732421875,516.982421875,186.56961059570312,323.364,4.3,0.3824519141221616,31098.027,4.33
2025-10-01,255.20260620117188,220.6300048828125,518.7391357421875,187.22958374023438,323.364,4.3,0.3824519141221616,31098.027,4.09
2025-10-02,256.8809814453125,222.41000366210938,514.7765502929688,188.87948608398438,323.364,4.3,0.3824519141221616,31098.027,4.09
2025-10-03,257.7701110839844,219.50999450683594,516.3834838867188,187.6095428466797,323.364,4.3,0.3824519141221616,31098.027,4.09
2025-10-06,256.44140625,220.89999389648438,527.5825805664062,185.5296630859375,323.364,4.3,0.3824519141221616,31098.027,4.09
2025-10-07,256.23162841796875,221.77999877929688,523.0010986328125,185.02969360351562,323.364,4.3,0.3824519141221616,31098.027,4.09
2025-10-08,257.8100891113281,225.22000122070312,523.8695068359375,189.09947204589844,323.364,4.3,0.3824519141221616,31098.027,4.09
2025-10-09,253.79396057128906,227.74000549316406,521.4241333007812,192.5592803955078,323.364,4.3,0.3824519141221616,31098.027,4.09
2025-10-10,245.032470703125,216.3699951171875,510.0054626464844,183.14981079101562,323.364,4.3,0.3824519141221616,31098.027,4.09
2025-10-13,247.42015075683594,220.07000732421875,513.0896606445312,188.3095245361328,323.364,4.3,0.3824519141221616,31098.027,4.09
2025-10-14,247.53004455566406,216.38999938964844,512.610595703125,180.0199737548828,323.364,4.3,0.3824519141221616,31098.027,4.09
2025-10-15,249.09852600097656,215.57000732421875,512.4708251953125,179.8199920654297,323.364,4.3,0.3824519141221616,31098.027,4.09
2025-10-16,247.21035766601562,214.47000122070312,510.65423583984375,181.7998809814453,323.364,4.3,0.3824519141221616,31098.027,4.09
2025-10-17,252.045654296875,213.0399932861328,512.62060546875,183.20980834960938,323.364,4.3,0.3824519141221616,31098.027,4.09
2025-10-20,261.98602294921875,216.47999572753906,515.8245239257812,182.6298370361328,323.364,4.3,0.3824519141221616,31098.027,4.09
2025-10-21,262.5155029296875,222.02999877929688,516.6929321289062,181.14991760253906,323.364,4.3,0.3824519141221616,31098.027,4.09
2025-10-22,258.19970703125,217.9499969482422,519.5675659179688,180.26995849609375,323.364,4.3,0.3824519141221616,31098.027,4.09
2025-10-23,259.3285827636719,221.08999633789062,519.5875244140625,182.1498565673828,323.364,4.3,0.3824519141221616,31098.027,4.09
2025-10-24,262.56549072265625,224.2100067138672,522.6318359375,186.24961853027344,323.364,4.3,0.3824519141221616,31098.027,4.09
2025-10-27,268.5496520996094,226.97000122070312,530.527099609375,191.47933959960938,323.364,4.3,0.3824519141221616,31098.027,4.09
2025-10-28,268.7394714355469,229.25,541.057373046875,201.01881408691406,323.364,4.3,0.3824519141221616,31098.027,4.09
2025-10-29,269.4388122558594,230.3000030517578,540.538330078125,207.02847290039062,323.364,4.3,0.3824519141221616,31098.027,4.09
2025-10-30,271.13714599609375,222.86000061035156,524.77783203125,202.8787078857422,323.364,4.3,0.3824519141221616,31098.027,4.09
2025-10-31,270.108154296875,244.22000122070312,516.8426513671875,202.47872924804688,323.364,4.3,0.3824519141221616,31098.027,4.09
2025-11-03,268.7894287109375,254.0,516.0641479492188,206.8684844970703,323.364,4.3,0.3824519141221616,31098.027,4.09
2025-11-04,269.7784729003906,249.32000732421875,513.3692016601562,198.67893981933594,323.364,4.3,0.3824519141221616,31098.027,4.09
2025-11-05,269.8783874511719,250.1999969482422,506.2125549316406,195.1991424560547,323.364,4.3,0.3824519141221616,31098.027,4.09
2025-11-06,269.50872802734375,243.0399932861328,496.1713562011719,188.0695343017578,323.364,4.3,0.3824519141221616,31098.027,4.09
2025-11-07,268.2099914550781,244.41000366210938,495.8918762207031,188.1395263671875,323.364,4.3,0.3824519141221616,31098.027,4.09
2025-11-10,269.42999267578125,248.39999389648438,505.0547180175781,199.03892517089844,323.364,4.3,0.3824519141221616,31098.027,4.09
2025-11-11,275.25,249.10000610351562,507.7297058105469,193.1492462158203,323.364,4.3,0.3824519141221616,31098.027,4.09
2025-11-12,273.4700012207031,244.1999969482422,510.1851501464844,193.78921508789062,323.364,4.3,0.3824519141221616,31098.027,4.09
2025-11-13,272.95001220703125,237.5800018310547,502.34979248046875,186.84959411621094,323.364,4.3,0.3824519141221616,31098.027,4.09
2025-11-14,272.4100036621094,234.69000244140625,509.2268981933594,190.15940856933594,323.364,4.3,0.3824519141221616,31098.027,4.09
2025-11-17,267.4599914550781,232.8699951171875,506.54193115234375,186.58961486816406,323.364,4.3,0.3824519141221616,31098.027,4.09
2025-11-18,267.44000244140625,222.5500030517578,492.8675537109375,181.3498992919922,323.364,4.3,0.3824519141221616,31098.027,4.09
2025-11-19,268.55999755859375,222.69000244140625,486.2099914550781,186.50961303710938,323.364,4.3,0.3824519141221616,31098.027,4.09
2025-11-20,266.25,217.13999938964844,478.42999267578125,180.62994384765625,323.364,4.3,0.3824519141221616,31098.027,4.09
2025-11-21,271.489990234375,220.69000244140625,472.1199951171875,178.8700408935547,323.364,4.3,0.3824519141221616,31098.027,4.09
2025-11-24,275.9200134277344,226.27999877929688,474.0,182.5398406982422,323.364,4.3,0.3824519141221616,31098.027,4.09
2025-11-25,276.9700012207031,229.6699981689453,476.989990234375,177.8101043701172,323.364,4.3,0.3824519141221616,31098.027,4.09
2025-11-26,277.54998779296875,229.16000366210938,485.5,180.2499542236328,323.364,4.3,0.3824519141221616,31098.027,4.09
2025-11-28,278.8500061035156,233.22000122070312,492.010009765625,176.99014282226562,323.364,4.3,0.3824519141221616,31098.027,4.09
2025-12-01,283.1000061035156,233.8800048828125,486.739990234375,179.9099884033203,326.03,4.4,0.3073552984176775,31098.027,3.72
2025-12-02,286.19000244140625,234.4199981689453,490.0,181.4499053955078,326.03,4.4,0.3073552984176775,31098.027,3.72
2025-12-03,284.1499938964844,232.3800048828125,477.7300109863281,179.5800018310547,326.03,4.4,0.3073552984176775,31098.027,3.72
2025-12-04,280.70001220703125,229.11000061035156,480.8399963378906,183.3800048828125,326.03,4.4,0.3073552984176775,31098.027,3.72
2025-12-05,278.7799987792969,229.52999877929688,483.1600036621094,182.41000366210938,326.03,4.4,0.3073552984176775,31098.027,3.72
2025-12-08,277.8900146484375,226.88999938964844,491.0199890136719,185.5500030517578,326.03,4.4,0.3073552984176775,31098.027,3.72
2025-12-09,277.17999267578125,227.9199981689453,492.0199890136719,184.97000122070312,326.03,4.4,0.3073552984176775,31098.027,3.72
2025-12-10,278.7799987792969,231.77999877929688,478.55999755859375,183.77999877929688,326.03,4.4,0.3073552984176775,31098.027,3.72
2025-12-11,278.0299987792969,230.27999877929688,483.4700012207031,180.92999267578125,326.03,4.4,0.3073552984176775,31098.027,3.72
2025-12-12,278.2799987792969,226.19000244140625,478.5299987792969,175.02000427246094,326.03,4.4,0.3073552984176775,31098.027,3.72
2025-12-15,274.1099853515625,222.5399932861328,474.82000732421875,176.2899932861328,326.03,4.4,0.3073552984176775,31098.027,3.72
2025-12-16,274.6099853515625,222.55999755859375,476.3900146484375,177.72000122070312,326.03,4.4,0.3073552984176775,31098.027,3.72
2025-12-17,271.8399963378906,221.27000427246094,476.1199951171875,170.94000244140625,326.03,4.4,0.3073552984176775,31098.027,3.72
2025-12-18,272.19000244140625,226.75999450683594,483.9800109863281,174.13999938964844,326.03,4.4,0.3073552984176775,31098.027,3.72
2025-12-19,273.6700134277344,227.35000610351562,485.9200134277344,180.99000549316406,326.03,4.4,0.3073552984176775,31098.027,3.72
2025-12-22,270.9700012207031,228.42999267578125,484.9200134277344,183.69000244140625,326.03,4.4,0.3073552984176775,31098.027,3.72
2025-12-23,272.3599853515625,232.13999938964844,486.8500061035156,189.2100067138672,326.03,4.4,0.3073552984176775,31098.027,3.72
2025-12-24,273.80999755859375,232.3800048828125,488.0199890136719,188.61000061035156,326.03,4.4,0.3073552984176775,31098.027,3.72
2025-12-26,273.3999938964844,232.52000427246094,487.7099914550781,190.52999877929688,326.03,4.4,0.3073552984176775,31098.027,3.72
2025-12-29,273.760009765625,232.07000732421875,487.1000061035156,188.22000122070312,326.03,4.4,0.3073552984176775,31098.027,3.72
2025-12-30,273.0799865722656,232.52999877929688,487.4800109863281,187.5399932861328,326.03,4.4,0.3073552984176775,31098.027,3.72
2025-12-31,271.8599853515625,230.82000732421875,483.6199951171875,186.5,326.03,4.4,0.3073552984176775,31098.027,3.72
